recipe_slug	score_bound
falafel	1.8634650526123844
spamburger	1.9347415030211637
bacon-fried-rice	1.9207213183731753
chicken-fingers	1.8854623470818361
apple-crisp	1.866724209142519
cranberry-apple-crisp	1.8605597807878689
bacon-chocolate-chip-cookies	1.9714586128502374
sujebi	1.8692440495459584
pasta-primavera	1.831730999511458
ramen	2.4057767340285467
brownies	2.715843712124342
bacon-wrapped-scallops	2.477431871375881
bacon-egg-muffins	2.4827705458406184
breakfast-burritos	2.519927907996072
bolognese-sauce	2.280628883379963
croissants	2.3584680619934213
bacon-souffle	2.2231672618537246
souffle	2.28925099270121
chocolate-souffle	2.4464526733955143
butter-croissants	2.0924363270908923
pickled-green-beans	2.0842730930860047
fried-oysters	2.2634722639185196
peanut-butter-brownies	2.515986301579181
almond-chip-cookies	2.152186769994108
guacamole	2.3508540618645912
brioche-bread	2.314159299908638
brioche-bread-with-chocolate	2.275149695825381
asparagus-quiche	2.0957703643749026
asparagus-burger	2.333238182468303
ma-la-chicken	2.3643904634126605
cold-noodles-with-tomatoes	2.36717516145597
tamales	2.361532038054907
enchiladas	2.3073306028568723
tacos	2.333244791251902
burritos	2.2581392544390853
peanut-butter-cupcakes	2.302326589207763
pickled-asparagus	2.2153919224148053
chocolate-peanut-butter-cake	2.479510109949919
udon	2.2356804651830084
vegetable-lasagna	1.974391167820821
maple-bacon-donuts	2.494076324912883
maple-bacon-pancakes	2.4632957588264546
spinach-and-ricotta-stuffed-shells	2.080405595560881
quesadillas	2.366256676515423
pico-de-gallo	2.250856981313492
nachos	2.2756171770469527
cold-soba-noodles-with-tomato-and-cucumber	2.2652111273176394
fajitas	2.349337971399159
loaded-nachos	2.277588206151795
lasagna	2.21548274784199
chicken-nuggets	2.2986465350834004
pain-au-chocolat	2.8370107142824375
nacho-dip	2.2361626255359037
nacho-salad	2.3247622070375176
nacho-casserole	2.249240617001049
nacho-fries	2.3480079227125215
tempura-udon	2.276419889860546
peach-crisp	2.172656217007989
apple-pie	2.34602029752521
blueberry-crisp	2.108517107797546
berry-crumble	2.033839434592135
strawberry-rhubarb-crisp	2.3370674880922757
peach-cobbler	2.208081265086954
cranberry-sauce	2.249364964320047
cherry-cobbler	2.1636657084651167
apple-crumble	2.3380231977209074
chocolate-croissants	2.509008515593055
french-toast	2.237845847178309
chocolate-babka	2.8292769813647762
cinnamon-babka	2.0974244189071998
blueberry-crumble	2.0635268165083938
spam-musubi	1.9048841178732192
taco-salad	2.361134779268842
chiles-rellenos	2.2540753631327957
almond-croissants	2.236670321658486
cranberry-relish	2.0826982976533794
ma-la-beef	2.305050909828834
chocolate-cake	2.5732568662200856
spinach-quiche	2.024593693293495
mushroom-quiche	2.109091424880393
quiche-lorraine	2.5195633277627105
croissant-aux-amandes	2.347117603182592
danishes	2.3086589604791046
spinach-and-feta-quiche	2.0406017037421216
cold-sesame-noodles	2.2673117360032453
soba-noodle-salad-with-peanut-dressing	2.273842002797987
dan-dan-noodles	2.375790836601853
vanilla-souffle	2.3265907574512616
bacon-wrapped-dates	2.4446854785346654
cherry-pie	2.2411852805415284
berry-crisp	2.1406239807023755
bacon-and-egg-breakfast-sandwich	2.485881626486975
bacon-wrapped-shrimp-skewers	2.5395417199019015
bacon-wrapped-chicken	2.524537428928184
bacon-wrapped-asparagus	2.555809818236898
bacon-mac-and-cheese	2.5502511856870127
chicken-alfredo-lasagna	2.3135460875777256
classic-beef-lasagna	2.594191481808217
vegetarian-mushroom-lasagna	2.4614302732963695
spinach-and-ricotta-lasagna	2.5870396444528194
