index	return	risk	AAPL	AMZN	GOOG	META	SPY	TSLA
0	0.014397815701552472	inf	0	0	0	0	0	0
1	-18350.065746162454	inf	0	0	0	0	0	0
2	-36700.145890140615	inf	0	0	0	0	0	0
3	-55050.22603411877	inf	0	0	0	0	0	0
4	-73400.30617809693	inf	0	0	0	0	0	0
5	-91750.38632207508	inf	0	0	0	0	0	0
6	-110100.46646605324	inf	0	0	0	0	0	0
7	-128450.54661003141	inf	0	0	0	0	0	0
8	-146800.62675400954	inf	0	0	0	0	0	0
9	-165150.7068979877	inf	0	0	0	0	0	0
10	-183500.78704196584	inf	0	0	0	0	0	0
11	-201850.86718594402	inf	0	0	0	0	0	0
12	-220200.94732992217	inf	0	0	0	0	0	0
13	-238551.02747390032	inf	0	0	0	0	0	0
14	-256901.1076178785	inf	0	0	0	0	0	0
15	-275251.18776185665	inf	0	0	0	0	0	0
16	-293601.26790583483	inf	0	0	0	0	0	0
17	-311951.348049813	inf	0	0	0	0	0	0
18	-330301.42819379113	inf	0	0	0	0	0	0
19	-348651.5083377693	inf	0	0	0	0	0	0
20	-367001.5884817474	inf	0	0	0	0	0	0
21	-385351.6686257256	inf	0	0	0	0	0	0
22	-403701.7487697038	inf	0	0	0	0	0	0
23	-422051.8289136819	inf	0	0	0	0	0	0
24	-440401.9090576601	inf	0	0	0	0	0	0
25	-458751.98920163827	inf	0	0	0	0	0	0
26	-477102.0693456164	inf	0	0	0	0	0	0
27	-495452.14948959457	inf	0	0	0	0	0	0
28	-513802.22963357274	inf	0	0	0	0	0	0
29	-532152.3097775509	inf	0	0	0	0	0	0
30	-550502.389921529	inf	0	0	0	0	0	0
31	-568852.4700655072	inf	0	0	0	0	0	0
32	-587202.5502094853	inf	0	0	0	0	0	0
33	-605552.6303534635	inf	0	0	0	0	0	0
34	-623902.7104974417	inf	0	0	0	0	0	0
35	-642252.7906414198	inf	0	0	0	0	0	0
36	-660602.870785398	inf	0	0	0	0	0	0
37	-678952.9509293762	inf	0	0	0	0	0	0
38	-697303.0310733543	inf	0	0	0	0	0	0
39	-715653.1112173324	inf	0	0	0	0	0	0
40	-734003.1913613105	inf	0	0	0	0	0	0
41	-752353.2715052888	inf	0	0	0	0	0	0
42	-770703.3516492669	inf	0	0	0	0	0	0
43	-789053.431793245	inf	0	0	0	0	0	0
44	-807403.5119372233	inf	0	0	0	0	0	0
45	-825753.5920812014	inf	0	0	0	0	0	0
46	-844103.6722251795	inf	0	0	0	0	0	0
47	-862453.7523691577	inf	0	0	0	0	0	0
48	-880803.8325131359	inf	0	0	0	0	0	0
49	-899153.912657114	inf	0	0	0	0	0	0
50	-917503.9928010922	inf	0	0	0	0	0	0
51	-935854.0729450703	inf	0	0	0	0	0	0
52	-954204.1530890485	inf	0	0	0	0	0	0
53	-972554.2332330267	inf	0	0	0	0	0	0
54	-990904.3133770048	inf	0	0	0	0	0	0
55	-1009254.3935209829	inf	0	0	0	0	0	0
56	-1027604.4736649612	inf	0	0	0	0	0	0
57	-1045954.5538089393	inf	0	0	0	0	0	0
58	-1064304.6339529173	inf	0	0	0	0	0	0
59	-1082654.7140968954	inf	0	0	0	0	0	0
60	-1101004.7942408735	inf	0	0	0	0	0	0
61	-1119354.874384852	inf	0	0	0	0	0	0
62	-1137704.95452883	inf	0	0	0	0	0	0
63	-1156055.0346728081	inf	0	0	0	0	0	0
64	-1174405.1148167863	inf	0	0	0	0	0	0
65	-1192755.1949607644	inf	0	0	0	0	0	0
66	-1211105.2751047425	inf	0	0	0	0	0	0
67	-1229455.3552487206	inf	0	0	0	0	0	0
68	-1247805.435392699	inf	0	0	0	0	0	0
69	-1266155.515536677	inf	0	0	0	0	0	0
70	-1284505.5956806552	inf	0	0	0	0	0	0
71	-1302855.6758246333	inf	0	0	0	0	0	0
72	-1321205.7559686115	inf	0	0	0	0	0	0
73	-1339555.8361125896	inf	0	0	0	0	0	0
74	-1357905.916256568	inf	0	0	0	0	0	0
75	-1376255.996400546	inf	0	0	0	0	0	0
76	-1394606.0765445242	inf	0	0	0	0	0	0
77	-1412956.1566885023	inf	0	0	0	0	0	0
78	-1431306.2368324804	inf	0	0	0	0	0	0
79	-1449656.3169764585	inf	0	0	0	0	0	0
80	-1468006.3971204367	inf	0	0	0	0	0	0
81	-1486356.477264415	inf	0	0	0	0	0	0
82	-1504706.5574083931	inf	0	0	0	0	0	0
83	-1523056.6375523712	inf	0	0	0	0	0	0
84	-1541406.7176963494	inf	0	0	0	0	0	0
85	-1559756.7978403275	inf	0	0	0	0	0	0
86	-1578106.8779843056	inf	0	0	0	0	0	0
87	-1596456.958128284	inf	0	0	0	0	0	0
88	-1614807.038272262	inf	0	0	0	0	0	0
89	-1633157.1184162402	inf	0	0	0	0	0	0
90	-1651507.1985602183	inf	0	0	0	0	0	0
91	-1669857.2787041964	inf	0	0	0	0	0	0
92	-1688207.3588481746	inf	0	0	0	0	0	0
93	-1706557.438992153	inf	0	0	0	0	0	0
94	-1724907.519136131	inf	0	0	0	0	0	0
95	-1743257.5992801092	inf	0	0	0	0	0	0
96	-1761607.6794240873	inf	0	0	0	0	0	0
97	-1779957.7595680654	inf	0	0	0	0	0	0
98	-1798307.8397120435	inf	0	0	0	0	0	0
99	-1816657.9198560216	inf	0	0	0	0	0	0
100	-1835008.0	inf	0	0	0	0	0	0
