feature	ham_probability	spam_probability
0	0.0009905128154985695	0.00190059264829636
00	0.0015173764962860318	0.00176183058494924
000	0.0010459960861555141	0.0015881541959857479
0000	6.8217136053620485e-06	0.000147416041491349
000000	1.3643427210724097e-06	4.5358781997338156e-05
0000108729	1.3643427210724097e-06	2.984130394561721e-07
000080	2.273904535120683e-07	1.4622238933352431e-05
0001	1.1369522675603416e-06	5.073021670754925e-06
0002	4.547809070241366e-07	2.0888912761932045e-06
0004	2.956075895656888e-06	1.4920651972808604e-06
0005	2.273904535120683e-07	2.6857173551055487e-06
0006	2.273904535120683e-07	2.3873043156493766e-06
0007571982	2.273904535120683e-07	1.7904782367370325e-06
001	1.86460171879896e-05	2.1784151880300563e-05
0011	1.1142132222091346e-05	2.984130394561721e-07
0017	2.273904535120683e-07	1.7904782367370325e-06
002	5.684761337801707e-06	9.549217262597506e-06
0020	2.273904535120683e-07	2.3873043156493766e-06
00225	2.273904535120683e-07	2.6857173551055487e-06
0027	1.1369522675603416e-06	1.1936521578246883e-06
0028	6.821713605362049e-07	4.476195591842581e-06
0029	2.273904535120683e-07	4.774608631298753e-06
003	3.4108568026810243e-06	7.758739025860474e-06
0030	1.1369522675603416e-06	5.968260789123442e-07
0031	2.273904535120683e-07	2.0888912761932044e-05
00319	2.273904535120683e-07	6.266673828579614e-06
0034	2.273904535120683e-07	5.073021670754925e-06
004	2.7286854421448195e-06	9.549217262597506e-06
004227	2.273904535120683e-07	2.0888912761932045e-06
0044	3.4108568026810243e-06	3.879369512930237e-06
005	8.186056326434459e-06	9.250804223141334e-06
0050	2.273904535120683e-07	6.565086868035786e-06
006	2.0465140816086147e-06	5.9682607891234416e-06
0060	9.095618140482732e-07	6.565086868035786e-06
0061	1.3643427210724097e-06	2.984130394561721e-07
007	2.956075895656888e-06	7.758739025860474e-06
0070	2.7286854421448195e-06	2.984130394561721e-07
008	2.501294988632751e-06	6.565086868035786e-06
0080	9.095618140482732e-07	1.7904782367370325e-06
009	2.0465140816086147e-06	6.565086868035786e-06
01	0.0019030307054424996	0.00019396847564651185
010	1.5917331745844781e-06	7.311119466676216e-05
0100	2.273904535120683e-06	1.7904782367370325e-05
0107	1.8191236280965463e-06	2.984130394561721e-07
0109	9.095618140482732e-07	8.952391183685162e-07
011	9.777789501018936e-06	2.02920866830197e-05
012	1.728167446691719e-05	2.9841303945617208e-06
013	2.0465140816086147e-06	4.177782552386409e-06
014	3.1834663491689563e-06	2.9841303945617208e-06
0148	2.273904535120683e-07	3.580956473474065e-06
015	8.868227686970664e-06	3.282543434017893e-06
016	2.0465140816086147e-06	2.6857173551055487e-06
0161	1.3643427210724097e-06	2.984130394561721e-07
017	1.8191236280965463e-06	2.3873043156493766e-06
0171	3.1834663491689563e-06	2.984130394561721e-07
018	1.1369522675603416e-06	2.6857173551055487e-06
01890	2.273904535120683e-07	1.7904782367370325e-06
019	1.8191236280965463e-06	1.1936521578246883e-06
0190	4.547809070241366e-07	5.073021670754925e-06
0194	2.273904535120683e-07	1.7904782367370325e-06
0199	2.273904535120683e-07	3.282543434017893e-06
02	0.0010239392121648436	9.549217262597506e-05
020	1.1142132222091346e-05	5.073021670754925e-06
0200	1.5917331745844781e-06	5.460958622047949e-05
0207	3.6382472561930927e-06	2.984130394561721e-07
021	2.273904535120683e-06	5.9682607891234416e-06
02163	1.8191236280965463e-06	2.984130394561721e-07
022	3.4108568026810243e-06	2.9841303945617208e-06
023	6.821713605362049e-07	3.879369512930237e-06
0232	1.3643427210724097e-06	2.984130394561721e-07
024	2.7286854421448195e-06	8.952391183685162e-07
0240	4.547809070241366e-07	2.3873043156493766e-06
025	5.002589977265502e-06	1.2831760696615399e-05
0250	4.547809070241366e-07	6.565086868035786e-06
026	1.5917331745844781e-06	4.177782552386409e-06
027	1.2733865396675825e-05	5.968260789123442e-07
028	3.6382472561930927e-06	1.7904782367370325e-06
029	9.095618140482732e-07	8.952391183685162e-07
0295	1.1369522675603416e-06	5.968260789123442e-07
03	0.0007829053314420512	0.0001068318681253096
030	3.4108568026810243e-06	1.7904782367370325e-06
0300	1.1369522675603416e-06	1.880002148573884e-05
031	2.273904535120683e-06	1.7904782367370325e-06
031500	2.273904535120683e-07	1.7904782367370325e-06
032	1.1369522675603416e-06	2.9841303945617208e-06
033	1.3643427210724097e-06	9.250804223141334e-06
0330	1.5917331745844781e-06	2.984130394561721e-07
034	1.8191236280965463e-06	3.282543434017893e-06
035	5.002589977265502e-06	2.6857173551055487e-06
0350	1.1369522675603416e-06	8.65397814422899e-06
0357	4.775199523753434e-06	5.968260789123442e-07
036	1.1369522675603416e-06	5.968260789123442e-07
