curr_state	curr_action	next_reward	next_state	old_value	new_value
1927	0	0	1927	0.0	0.0
1927	0	0	1927	0.0	0.0
1927	1	0	1920	0.0	0.0
1920	1	0	1921	0.0	0.0
1921	0	0	1929	0.0	0.0
1929	-1	0	1936	0.0	0.0
1936	-1	0	1943	0.0	0.0
1943	-1	0	1934	0.0	0.0
1934	-1	0	1925	0.0	0.0
1925	-1	0	1796	0.0	0.0
1796	1	0	1669	0.0	0.0
1669	-1	0	1540	0.0	0.0
1540	-1	0	1411	0.0	0.0
1411	-1	0	1290	0.0	0.0
1290	1	0	1299	0.0	0.0
1299	-1	0	1178	0.0	0.0
1178	-1	0	1185	0.0	0.0
1185	1	0	1322	0.0	0.0
1322	1	0	1331	0.0	0.0
1331	1	0	1212	0.0	0.0
1212	1	0	1085	0.0	0.0
1085	1	0	950	0.0	0.0
950	1	0	943	0.0	0.0
943	0	0	1063	0.0	0.0
1063	-1	0	1182	0.0	0.0
1182	-1	0	1173	0.0	0.0
1173	-1	0	1036	0.0	0.0
1036	-1	0	907	0.0	0.0
907	-1	0	786	0.0	0.0
786	-1	0	793	0.0	0.0
793	-1	0	928	0.0	0.0
928	-1	0	1063	0.0	0.0
1063	-1	0	1182	0.0	0.0
1182	-1	0	1173	0.0	0.0
1173	-1	0	1036	0.0	0.0
1036	-1	0	907	0.0	0.0
907	-1	0	786	0.0	0.0
786	-1	0	793	0.0	0.0
793	-1	0	928	0.0	0.0
928	-1	0	1063	0.0	0.0
1063	-1	0	1182	0.0	0.0
1182	-1	0	1173	0.0	0.0
1173	-1	0	1036	0.0	0.0
1036	1	0	909	0.0	0.0
909	-1	0	772	0.0	0.0
772	-1	0	643	0.0	0.0
643	-1	0	522	0.0	0.0
522	-1	0	529	0.0	0.0
529	-1	0	664	0.0	0.0
664	-1	0	799	0.0	0.0
799	-1	0	918	0.0	0.0
918	-1	0	909	0.0	0.0
909	1	0	774	0.0	0.0
774	-1	0	773	0.0	0.0
773	-1	0	644	0.0	0.0
644	-1	0	515	0.0	0.0
515	-1	0	394	0.0	0.0
394	-1	0	401	0.0	0.0
401	0	0	537	0.0	0.0
537	-1	0	672	0.0	0.0
672	0	0	800	0.0	0.0
800	1	0	929	0.0	0.0
929	1	0	1066	0.0	0.0
1066	-1	0	1073	0.0	0.0
1073	-1	0	1208	0.0	0.0
1208	0	0	1336	0.0	0.0
1336	-1	0	1471	0.0	0.0
1471	1	0	1584	0.0	0.0
1584	-1	0	1719	0.0	0.0
1719	-1	0	1838	0.0	0.0
1838	-1	0	1829	0.0	0.0
1829	-1	0	1692	0.0	0.0
1692	0	0	1564	0.0	0.0
1564	-1	0	1435	0.0	0.0
1435	-1	0	1314	0.0	0.0
1314	-1	0	1321	0.0	0.0
1321	-1	0	1456	0.0	0.0
1456	-1	0	1591	0.0	0.0
1591	1	0	1704	0.0	0.0
1704	-1	0	1839	0.0	0.0
1839	-1	0	1958	0.0	0.0
1958	1	0	1951	0.0	0.0
1951	-1	0	1942	0.0	0.0
1942	-1	0	1933	0.0	0.0
1933	-1	0	1796	0.0	0.0
1796	-1	0	1667	0.0	0.0
1667	-1	0	1546	0.0	0.0
1546	0	0	1554	0.0	0.0
1554	1	0	1563	0.0	0.0
1563	-1	0	1442	0.0	0.0
1442	-1	0	1449	0.0	0.0
1449	1	0	1586	0.0	0.0
1586	-1	0	1593	0.0	0.0
1593	-1	0	1728	0.0	0.0
1728	0	0	1856	0.0	0.0
1856	-1	0	1991	0.0	0.0
1991	-1	0	1982	0.0	0.0
1982	-1	0	1973	0.0	0.0
1973	-1	0	1836	0.0	0.0
1836	-1	0	1707	0.0	0.0
1707	-1	0	1586	0.0	0.0
1586	-1	0	1593	0.0	0.0
1593	-1	0	1728	0.0	0.0
1728	0	0	1856	0.0	0.0
1856	-1	0	1991	0.0	0.0
1991	-1	0	1982	0.0	0.0
1982	-1	0	1973	0.0	0.0
1973	0	0	1837	0.0	0.0
1837	0	0	1701	0.0	0.0
1701	0	0	1565	0.0	0.0
1565	-1	0	1428	0.0	0.0
1428	0	0	1300	0.0	0.0
1300	1	0	1173	0.0	0.0
1173	-1	0	1036	0.0	0.0
1036	-1	0	907	0.0	0.0
907	-1	0	786	0.0	0.0
786	-1	0	793	0.0	0.0
793	-1	0	928	0.0	0.0
928	-1	0	1063	0.0	0.0
1063	1	0	1176	0.0	0.0
1176	-1	0	1311	0.0	0.0
1311	-1	0	1430	0.0	0.0
1430	-1	0	1421	0.0	0.0
1421	-1	0	1284	0.0	0.0
1284	1	0	1157	0.0	0.0
1157	-1	0	1028	0.0	0.0
1028	1	0	901	0.0	0.0
901	1	0	774	0.0	0.0
774	-1	0	773	0.0	0.0
773	-1	0	644	0.0	0.0
644	0	0	516	0.0	0.0
516	-1	0	387	0.0	0.0
387	-1	0	266	0.0	0.0
266	-1	0	273	0.0	0.0
273	-1	0	408	0.0	0.0
