curr_state	curr_action	next_reward	next_state	old_value	new_value
1027	-1	0	906	0.0	0.0
906	-1	0	913	0.0	0.0
913	1	0	1050	0.0	0.0
1050	1	0	1059	0.0	0.0
1059	1	0	940	0.0	0.0
940	0	0	812	0.0	0.0
812	0	0	684	0.0	0.0
684	-1	0	555	0.0	0.0
555	-1	0	434	0.0	0.0
434	0	0	442	0.0	0.0
442	0	0	450	0.0	0.0
450	-1	0	457	0.0	0.0
457	0	0	593	0.0	0.0
593	1	0	730	0.0	0.0
730	-1	0	737	0.0	0.0
737	1	0	874	0.0	0.0
874	0	0	882	0.0	0.0
882	-1	0	889	0.0	0.0
889	1	0	1018	0.0	0.0
1018	-1	0	1017	0.0	0.0
1017	1	0	1146	0.0	0.0
1146	1	0	1147	0.0	0.0
1147	1	0	1020	0.0	0.0
1020	0	0	892	0.0	0.0
892	1	0	765	0.0	0.0
765	-1	0	628	0.0	0.0
628	-1	0	499	0.0	0.0
499	0	0	379	0.0	0.0
379	1	0	252	0.0	0.0
252	1	0	125	0.0	0.0
125	-1	0	116	0.0	0.0
116	0	0	116	0.0	0.0
116	-1	0	115	0.0	0.0
115	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	0	0	117	0.0	0.0
117	-1	0	108	0.0	0.0
108	-1	0	107	0.0	0.0
107	-1	0	114	0.0	0.0
114	1	0	123	0.0	0.0
123	-1	0	122	0.0	0.0
122	1	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	1	0	118	0.0	0.0
118	0	0	110	0.0	0.0
110	-1	0	101	0.0	0.0
101	1	0	94	0.0	0.0
94	1	0	87	0.0	0.0
87	0	0	207	0.0	0.0
207	1	0	320	0.0	0.0
320	0	0	448	0.0	0.0
448	1	0	577	0.0	0.0
577	0	0	713	0.0	0.0
713	-1	0	848	0.0	0.0
848	-1	0	983	0.0	0.0
983	1	0	1096	0.0	0.0
1096	1	0	1225	0.0	0.0
1225	0	0	1361	0.0	0.0
1361	-1	0	1496	0.0	0.0
1496	1	0	1625	0.0	0.0
1625	-1	0	1760	0.0	0.0
1760	0	0	1888	0.0	0.0
1888	-1	0	2023	0.0	0.0
2023	-1	0	2014	0.0	0.0
2014	1	0	2007	0.0	0.0
2007	0	0	1999	0.0	0.0
1999	0	0	1991	0.0	0.0
1991	-1	0	1982	0.0	0.0
1982	1	0	1975	0.0	0.0
1975	-1	0	1966	0.0	0.0
1966	1	0	1959	0.0	0.0
1959	1	0	1944	0.0	0.0
1944	1	0	1945	0.0	0.0
1945	-1	0	1952	0.0	0.0
1952	0	0	1952	0.0	0.0
1952	0	0	1952	0.0	0.0
1952	-1	0	1959	0.0	0.0
1959	1	0	1944	0.0	0.0
1944	-1	0	1951	0.0	0.0
1951	1	0	1936	0.0	0.0
1936	-1	0	1943	0.0	0.0
1943	0	0	1935	0.0	0.0
1935	-1	0	1926	0.0	0.0
1926	0	0	1926	0.0	0.0
1926	1	0	1927	0.0	0.0
1927	-1	0	1926	0.0	0.0
1926	-1	0	1925	0.0	0.0
1925	0	0	1797	0.0	0.0
1797	-1	0	1668	0.0	0.0
1668	1	0	1541	0.0	0.0
1541	1	0	1414	0.0	0.0
1414	1	0	1415	0.0	0.0
1415	1	0	1536	0.0	0.0
1536	-1	0	1671	0.0	0.0
1671	-1	0	1798	0.0	0.0
1798	1	0	1799	0.0	0.0
1799	1	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	1	0	1921	0.0	0.0
1921	-1	0	1928	0.0	0.0
1928	-1	0	1935	0.0	0.0
1935	0	0	1927	0.0	0.0
1927	0	0	1927	0.0	0.0
1927	0	0	1927	0.0	0.0
1927	-1	0	1926	0.0	0.0
1926	0	0	1926	0.0	0.0
1926	0	0	1926	0.0	0.0
1926	-1	0	1925	0.0	0.0
1925	-1	0	1796	0.0	0.0
1796	1	0	1669	0.0	0.0
1669	0	0	1541	0.0	0.0
1541	0	0	1413	0.0	0.0
1413	1	0	1286	0.0	0.0
1286	-1	0	1285	0.0	0.0
1285	-1	0	1156	0.0	0.0
1156	-1	0	1027	0.0	0.0
1027	1	0	908	0.0	0.0
908	1	0	781	0.0	0.0
781	0	0	645	0.0	0.0
645	-1	0	516	0.0	0.0
516	-1	0	387	0.0	0.0
387	-1	0	266	0.0	0.0
266	0	0	274	0.0	0.0
274	1	0	283	0.0	0.0
283	0	0	163	0.0	0.0
163	0	0	43	0.0	0.0
43	0	0	51	0.0	0.0
51	-1	0	58	0.0	0.0
58	1	0	67	0.0	0.0
67	-1	0	74	0.0	0.0
74	-1	0	81	0.0	0.0
81	1	0	218	0.0	0.0
218	-1	0	225	0.0	0.0
225	0	0	361	0.0	0.0
361	-1	0	496	0.0	0.0
496	1	0	625	0.0	0.0
625	-1	0	760	0.0	0.0
760	0	0	888	0.0	0.0
888	0	0	1016	0.0	0.0
1016	1	0	1145	0.0	0.0
1145	0	0	1273	0.0	0.0
1273	-1	0	1400	0.0	0.0
1400	0	0	1528	0.0	0.0
1528	0	0	1656	0.0	0.0
1656	-1	0	1791	0.0	0.0
1791	-1	0	1910	0.0	0.0
1910	0	0	1902	0.0	0.0
1902	1	0	1895	0.0	0.0
1895	1	0	2008	0.0	0.0
2008	1	0	2009	0.0	0.0
2009	1	0	2018	0.0	0.0
2018	1	0	2027	0.0	0.0
2027	-1	0	1906	0.0	0.0
1906	0	0	1914	0.0	0.0
1914	1	0	1915	0.0	0.0
1915	0	0	1787	0.0	0.0
1787	-1	0	1658	0.0	0.0
1658	1	0	1659	0.0	0.0
1659	0	0	1531	0.0	0.0
1531	-1	0	1402	0.0	0.0
1402	0	0	1402	0.0	0.0
1402	1	0	1403	0.0	0.0
1403	0	0	1275	0.0	0.0
1275	1	0	1148	0.0	0.0
1148	0	0	1020	0.0	0.0
1020	0	0	892	0.0	0.0
892	-1	0	763	0.0	0.0
763	-1	0	634	0.0	0.0
634	-1	0	633	0.0	0.0
633	0	0	761	0.0	0.0
761	-1	0	888	0.0	0.0
888	-1	0	1023	0.0	0.0
1023	1	0	1136	0.0	0.0
1136	1	0	1265	0.0	0.0
1265	1	0	1402	0.0	0.0
1402	0	0	1402	0.0	0.0
1402	-1	0	1401	0.0	0.0
1401	-1	0	1528	0.0	0.0
1528	0	0	1656	0.0	0.0
1656	-1	0	1791	0.0	0.0
1791	1	0	1904	0.0	0.0
1904	1	0	2033	0.0	0.0
2033	1	0	2042	0.0	0.0
2042	-1	0	2041	0.0	0.0
2041	0	0	2041	0.0	0.0
2041	0	0	2041	0.0	0.0
2041	0	0	2041	0.0	0.0
2041	-1	0	2040	0.0	0.0
2040	1	0	2041	0.0	0.0
2041	0	0	2041	0.0	0.0
2041	1	0	2042	0.0	0.0
2042	1	0	2043	0.0	0.0
2043	0	0	1915	0.0	0.0
1915	1	0	1788	0.0	0.0
1788	1	0	1661	0.0	0.0
1661	0	0	1525	0.0	0.0
1525	0	0	1389	0.0	0.0
1389	-1	0	1252	0.0	0.0
1252	-1	0	1123	0.0	0.0
1123	0	0	1003	0.0	0.0
1003	-1	0	882	0.0	0.0
882	0	0	890	0.0	0.0
890	-1	0	889	0.0	0.0
889	1	0	1018	0.0	0.0
1018	0	0	1018	0.0	0.0
1018	1	0	1019	0.0	0.0
1019	-1	0	890	0.0	0.0
890	0	0	890	0.0	0.0
890	-1	0	889	0.0	0.0
889	1	0	1018	0.0	0.0
1018	0	0	1018	0.0	0.0
1018	1	0	1019	0.0	0.0
1019	-1	0	890	0.0	0.0
890	0	0	890	0.0	0.0
890	1	0	891	0.0	0.0
891	0	0	763	0.0	0.0
763	0	0	635	0.0	0.0
635	-1	0	506	0.0	0.0
506	1	0	507	0.0	0.0
507	1	0	380	0.0	0.0
380	-1	0	251	0.0	0.0
251	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	-1	0	116	0.0	0.0
116	0	0	116	0.0	0.0
116	-1	0	115	0.0	0.0
115	-1	0	122	0.0	0.0
122	1	0	123	0.0	0.0
123	0	0	123	0.0	0.0
123	0	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	0	0	124	0.0	0.0
124	0	0	124	0.0	0.0
124	-1	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	-1	0	116	0.0	0.0
116	-1	0	115	0.0	0.0
115	0	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	0	0	117	0.0	0.0
117	0	0	109	0.0	0.0
109	0	0	101	0.0	0.0
101	0	0	93	0.0	0.0
93	0	0	85	0.0	0.0
85	0	0	77	0.0	0.0
77	-1	0	68	0.0	0.0
68	0	0	68	0.0	0.0
68	0	0	68	0.0	0.0
68	-1	0	67	0.0	0.0
67	1	0	76	0.0	0.0
76	0	0	76	0.0	0.0
76	1	0	77	0.0	0.0
77	0	0	69	0.0	0.0
69	0	0	61	0.0	0.0
61	0	0	53	0.0	0.0
53	0	0	45	0.0	0.0
45	-1	0	36	0.0	0.0
36	-1	0	35	0.0	0.0
35	1	0	44	0.0	0.0
44	0	0	44	0.0	0.0
44	0	0	44	0.0	0.0
44	0	0	44	0.0	0.0
44	0	0	44	0.0	0.0
44	1	0	45	0.0	0.0
45	-1	0	36	0.0	0.0
36	-1	0	35	0.0	0.0
35	-1	0	42	0.0	0.0
42	-1	0	49	0.0	0.0
49	-1	0	184	0.0	0.0
184	0	0	312	0.0	0.0
312	1	0	441	0.0	0.0
441	-1	0	576	0.0	0.0
576	0	0	704	0.0	0.0
704	1	0	833	0.0	0.0
833	0	0	969	0.0	0.0
969	-1	0	1104	0.0	0.0
1104	-1	0	1239	0.0	0.0
1239	1	0	1352	0.0	0.0
1352	0	0	1480	0.0	0.0
1480	0	0	1608	0.0	0.0
1608	1	0	1737	0.0	0.0
1737	-1	0	1872	0.0	0.0
1872	1	0	2001	0.0	0.0
2001	0	0	2009	0.0	0.0
2009	0	0	2017	0.0	0.0
